steps,timestep,epochs,loss
5,2.3356,1.2667,0.5737
10,4.6945,1.6,0.573
15,7.0439,1.9333,0.5771
20,9.3995,2.2667,0.5565
25,11.7604,2.6,0.5527
30,14.0692,2.9333,0.54
35,16.424,3.2667,0.5271
40,18.7732,3.6,0.5121
45,21.1393,3.9333,0.5012
50,23.5004,4.2667,0.4788
55,25.855,4.6,0.4652
60,28.2221,4.9333,0.4487
65,30.5554,5.2667,0.4301
70,32.9569,5.6,0.4117
75,35.2812,5.9333,0.3813
80,37.6369,6.2667,0.3528
85,39.9886,6.6,0.3356
90,42.3606,6.9333,0.3107
95,44.7264,7.2667,0.283
100,47.0908,7.6,0.2628
105,49.4555,7.9333,0.2407
110,51.7972,8.2667,0.2224
115,54.1894,8.6,0.1966
120,56.5196,8.9333,0.1811
125,58.8888,9.2667,0.167
130,61.2545,9.6,0.1562
135,63.6161,9.9333,0.1455
140,65.9838,10.2667,0.1408
145,68.3576,10.6,0.1371
150,70.7147,10.9333,0.1214
155,73.0473,11.2667,0.1125
160,75.449,11.6,0.1203
165,77.7752,11.9333,0.1046
170,80.1442,12.2667,0.1061
175,82.4979,12.6,0.1044
180,84.8725,12.9333,0.1069
185,87.2408,13.2667,0.1064
190,89.6064,13.6,0.0968
195,91.977,13.9333,0.0988
200,94.3226,14.2667,0.0762
205,96.6961,14.6,0.0872
210,99.0702,14.9333,0.0853
215,101.4311,15.2667,0.0936
220,103.7954,15.6,0.0945
225,106.1509,15.9333,0.0812
230,108.507,16.2667,0.0851
235,110.8302,16.6,0.0768
240,113.3744,16.9333,0.0871
245,115.7953,17.2667,0.0756
250,118.1551,17.6,0.0812
255,120.5011,17.9333,0.0757
260,122.8535,18.2667,0.0742
265,125.2037,18.6,0.072
270,127.5757,18.9333,0.0699
275,129.9386,19.2667,0.0742
280,132.256,19.6,0.0652
285,134.6874,19.9333,0.0672
290,137.0043,20.2667,0.0857
295,139.5203,20.6,0.0712
300,141.8912,20.9333,0.0673
305,144.255,21.2667,0.0605
310,146.6174,21.6,0.0748
315,148.9898,21.9333,0.0637
320,151.361,22.2667,0.0636
325,153.6883,22.6,0.0616
330,156.0838,22.9333,0.0622
335,158.4162,23.2667,0.0607
340,160.7927,23.6,0.0787
345,163.1628,23.9333,0.0634
350,165.5306,24.2667,0.0683
355,167.9012,24.6,0.0583
360,170.2678,24.9333,0.0775
365,172.6623,25.2667,0.0548
370,174.9974,25.6,0.0622
375,177.3538,25.9333,0.0683
380,179.738,26.2667,0.0589
385,182.1011,26.6,0.0715
390,184.4696,26.9333,0.0541
395,186.8327,27.2667,0.0643
400,189.2004,27.6,0.0589
405,191.5228,27.9333,0.0561
410,193.9216,28.2667,0.0643
415,196.2453,28.6,0.0626
420,198.5924,28.9333,0.0601
425,200.9563,29.2667,0.0603
430,203.3275,29.6,0.0534
435,205.6943,29.9333,0.051
440,208.0585,30.2667,0.0532
445,210.4294,30.6,0.0557
450,212.7608,30.9333,0.0567
455,215.1787,31.2667,0.0569
460,217.5076,31.6,0.0534
465,219.885,31.9333,0.0518
470,222.2456,32.2667,0.0508
475,224.6169,32.6,0.0477
480,226.9888,32.9333,0.0534
485,229.3737,33.2667,0.0447
490,231.7582,33.6,0.053
495,234.094,33.9333,0.0601
500,236.5095,34.2667,0.0443
505,238.8988,34.6,0.0578
510,241.2134,34.9333,0.0522
515,243.5864,35.2667,0.0581
520,245.948,35.6,0.0498
525,248.3098,35.9333,0.0559
530,250.6723,36.2667,0.059
535,253.0246,36.6,0.0491
540,255.3874,36.9333,0.0539
545,257.699,37.2667,0.0477
550,260.1029,37.6,0.05
555,262.4324,37.9333,0.0518
560,264.8009,38.2667,0.0482
565,267.1639,38.6,0.0627
570,269.5368,38.9333,0.0475
575,271.9026,39.2667,0.0528
580,274.2674,39.6,0.0507
585,276.6344,39.9333,0.0494
590,278.9616,40.2667,0.0488
595,281.3584,40.6,0.0536
600,283.6775,40.9333,0.0522
605,286.0453,41.2667,0.0546
610,288.4132,41.6,0.0481
615,290.7894,41.9333,0.0471
620,293.1457,42.2667,0.0488
625,295.4997,42.6,0.0494
630,297.8673,42.9333,0.0459
635,300.3603,43.2667,0.0435
640,302.7567,43.6,0.046
645,305.0809,43.9333,0.0498
650,307.4325,44.2667,0.0492
655,309.8161,44.6,0.0525
660,312.1825,44.9333,0.0514
665,314.5526,45.2667,0.0525
670,316.908,45.6,0.0429
675,319.2676,45.9333,0.0449
680,321.6174,46.2667,0.0449
685,323.9927,46.6,0.0455
690,326.3577,46.9333,0.0624
695,328.7957,47.2667,0.0496
700,331.2451,47.6,0.0441
705,333.7048,47.9333,0.0425
710,336.2089,48.2667,0.049
715,338.5891,48.6,0.0449
720,341.0267,48.9333,0.0429
725,343.373,49.2667,0.0458
730,345.7645,49.6,0.0566
735,348.1349,49.9333,0.0453
740,350.4946,50.2667,0.0427
745,352.8731,50.6,0.0456
750,355.2436,50.9333,0.0445
755,357.6204,51.2667,0.0442
760,359.9672,51.6,0.0437
765,362.3663,51.9333,0.0469
770,364.7088,52.2667,0.0554
775,367.0967,52.6,0.0456
780,369.4747,52.9333,0.0452
785,371.8562,53.2667,0.0505
790,374.2371,53.6,0.0524
795,376.6259,53.9333,0.0398
800,379.0167,54.2667,0.0584
805,381.3449,54.6,0.0476
810,383.755,54.9333,0.0454
815,386.1026,55.2667,0.0469
820,388.4998,55.6,0.042
825,390.888,55.9333,0.0471
830,393.2508,56.2667,0.0458
835,395.6262,56.6,0.0449
840,397.9917,56.9333,0.042
845,400.3824,57.2667,0.0472
850,402.6985,57.6,0.0445
855,405.1125,57.9333,0.0446
860,407.4289,58.2667,0.0468
865,409.7817,58.6,0.0394
870,412.1392,58.9333,0.0542
875,414.5326,59.2667,0.0531
880,416.9363,59.6,0.0472
885,419.3052,59.9333,0.052
890,421.6975,60.2667,0.0402
895,424.0378,60.6,0.0454
900,426.4591,60.9333,0.0399
905,428.8514,61.2667,0.0428
910,431.2509,61.6,0.041
915,433.6436,61.9333,0.0451
920,436.0332,62.2667,0.0429
925,438.6569,62.6,0.0429
930,441.0151,62.9333,0.041
935,443.461,63.2667,0.0438
940,445.8193,63.6,0.051
945,448.3088,63.9333,0.0448
950,450.6876,64.2667,0.0427
955,453.0816,64.6,0.0417
960,455.4814,64.9333,0.0455
965,457.8505,65.2667,0.0425
970,460.2498,65.6,0.0434
975,462.5918,65.9333,0.0505
980,465.0096,66.2667,0.0415
985,467.3567,66.6,0.0442
990,469.7221,66.9333,0.0439
995,472.1017,67.2667,0.0434
1000,474.5082,67.6,0.0445
1005,476.8965,67.9333,0.0424
1010,479.2795,68.2667,0.0388
1015,481.6013,68.6,0.0418
1020,484.0244,68.9333,0.0415
1025,486.3895,69.2667,0.0431
1030,488.7778,69.6,0.0386
1035,491.1551,69.9333,0.0429
1040,493.5524,70.2667,0.0381
1045,495.9485,70.6,0.0428
1050,498.3316,70.9333,0.0451
1055,500.7065,71.2667,0.0433
1060,503.0379,71.6,0.0449
1065,505.4672,71.9333,0.0419
1070,507.8066,72.2667,0.0401
1075,510.189,72.6,0.0501
1080,512.5771,72.9333,0.0485
1085,514.9617,73.2667,0.0456
1090,517.3667,73.6,0.0418
1095,519.7703,73.9333,0.0412
1100,522.162,74.2667,0.039
1105,524.5293,74.6,0.0405
1110,526.9269,74.9333,0.044
1115,529.3205,75.2667,0.0441
1120,531.691,75.6,0.0426
1125,534.0693,75.9333,0.0407
1130,536.4705,76.2667,0.0548
1135,538.8688,76.6,0.0431
1140,541.2216,76.9333,0.0395
1145,543.6438,77.2667,0.0499
1150,545.9989,77.6,0.0478
1155,548.3842,77.9333,0.0396
1160,550.7529,78.2667,0.0426
1165,553.1231,78.6,0.0433
1170,555.5038,78.9333,0.0503
1175,557.876,79.2667,0.0481
1180,560.2806,79.6,0.0401
1185,562.6231,79.9333,0.0398
1190,565.0485,80.2667,0.0467
1195,567.3883,80.6,0.0393
1200,569.7744,80.9333,0.0394
1205,572.1518,81.2667,0.0536
1210,574.5413,81.6,0.0478
1215,576.9242,81.9333,0.0453
1220,579.2854,82.2667,0.0442
1225,581.6725,82.6,0.0383
1230,584.0236,82.9333,0.0419
1235,586.4314,83.2667,0.0444
1240,588.776,83.6,0.041
1245,591.14,83.9333,0.0419
1250,593.5449,84.2667,0.0417
1255,595.9286,84.6,0.0412
1260,598.3892,84.9333,0.0433
1265,600.9005,85.2667,0.0375
1270,603.2918,85.6,0.0426
1275,605.6284,85.9333,0.0436
1280,608.0284,86.2667,0.0383
1285,610.429,86.6,0.0442
1290,612.7978,86.9333,0.0424
1295,615.1799,87.2667,0.0362
1300,617.5831,87.6,0.0485
1305,619.9835,87.9333,0.0351
1310,622.387,88.2667,0.0395
1315,624.7644,88.6,0.0419
1320,627.102,88.9333,0.0461
1325,629.4982,89.2667,0.0409
1330,631.9149,89.6,0.0392
1335,634.2845,89.9333,0.0378
1340,636.8033,90.2667,0.0394
1345,639.2675,90.6,0.0372
1350,641.775,90.9333,0.0467
1355,644.2551,91.2667,0.0406
1360,646.7136,91.6,0.0421
1365,649.0362,91.9333,0.0436
1370,651.4616,92.2667,0.047
1375,653.8562,92.6,0.0412
1380,656.2752,92.9333,0.0421
1385,658.6867,93.2667,0.0382
1390,661.0505,93.6,0.0361
1395,663.4712,93.9333,0.0391
1400,665.8438,94.2667,0.0349
1405,668.2809,94.6,0.0408
1410,670.6233,94.9333,0.0591
1415,673.0172,95.2667,0.0426
1420,675.4088,95.6,0.0433
1425,677.815,95.9333,0.0399
1430,680.2231,96.2667,0.0416
1435,682.6253,96.6,0.0446
1440,685.0237,96.9333,0.0427
1445,687.3872,97.2667,0.0368
1450,689.7982,97.6,0.0409
1455,692.2066,97.9333,0.0378
1460,694.6209,98.2667,0.0389
1465,697.004,98.6,0.0417
1470,699.4074,98.9333,0.0403
1475,701.7968,99.2667,0.0468
1480,704.1704,99.6,0.0392
1485,706.5899,99.9333,0.0364
1490,708.9497,100.2667,0.0429
1495,711.3572,100.6,0.0388
1500,713.7479,100.9333,0.0463
